CountryNum,StateNum,Year,AOU,SpeciesTotal
124,4,1973,540,45
124,4,1974,540,15
124,4,1975,540,14
124,4,1976,540,123
124,4,1977,540,3
124,4,1978,540,5
124,4,1979,540,12
124,4,1980,540,67
124,4,1981,540,165
124,4,1982,540,315
124,4,1983,540,104
124,4,1984,540,20
124,4,1985,540,175
124,4,1986,540,45
124,4,1987,540,357
124,4,1988,540,225
124,4,1989,540,71
124,4,1990,540,394
124,4,1991,540,259
124,4,1992,540,157
124,4,1993,540,92
124,4,1994,540,157
124,4,1995,540,50
124,4,1996,540,177
124,4,1997,540,262
124,4,1998,540,115
124,4,1999,540,141
124,4,2000,540,101
124,4,2001,540,6
124,4,2002,540,289
124,4,2003,540,42
124,4,2004,540,46
124,4,2005,540,19
124,4,2006,540,20
124,4,2007,540,91
124,4,2008,540,5
124,4,2009,540,9
124,4,2010,540,78
124,4,2011,540,23
124,4,1971,540,82
124,4,1972,540,95
124,4,1973,540,110
124,4,1974,540,99
124,4,1975,540,50
124,4,1976,540,116
124,4,1978,540,177
124,4,1979,540,442
124,4,1980,540,84
124,4,1981,540,399
124,4,1982,540,254
124,4,1983,540,241
124,4,1971,540,2
124,4,1972,540,7
124,4,1973,540,7
124,4,1975,540,1
124,4,1976,540,3
124,4,1977,540,4
124,4,1980,540,3
124,4,1981,540,5
124,4,1983,540,3
124,4,1984,540,8
124,4,1986,540,100
124,4,1987,540,12
124,4,1989,540,1
124,4,1990,540,6
124,4,1991,540,19
124,4,1992,540,5
124,4,1993,540,21
124,4,1994,540,17
124,4,1996,540,1
124,4,1997,540,2
124,4,1998,540,3
124,4,1999,540,184
124,4,2000,540,20
124,4,2001,540,43
124,4,2004,540,9
124,4,2005,540,35
124,4,2006,540,61
124,4,2007,540,44
124,4,2008,540,8
124,4,2009,540,14
124,4,2011,540,18
124,4,2012,540,29
124,4,2016,540,134
124,4,2017,540,127
124,4,2018,540,15
124,4,2013,540,1
124,4,1976,540,1
124,4,1977,540,1
124,4,1973,540,2
124,4,1971,540,7
124,4,1972,540,5
124,4,1974,540,1
124,4,1975,540,27
124,4,1977,540,4
124,4,1979,540,2
124,4,1980,540,25
124,4,1985,540,1
124,4,1986,540,1
124,4,1990,540,1
124,4,1999,540,3
124,4,2007,540,3
124,4,2009,540,1
124,4,2012,540,3
124,4,2013,540,2
124,4,2017,540,1
124,4,1969,540,7
124,4,1970,540,2
124,4,1972,540,1
124,4,1976,540,12
124,4,1977,540,24
124,4,1978,540,33
124,4,1979,540,63
124,4,1983,540,13
124,4,1984,540,8
124,4,1985,540,19
124,4,1986,540,25
124,4,1987,540,17
124,4,1989,540,32
124,4,1990,540,32
124,4,1991,540,242
124,4,1993,540,26
124,4,1994,540,1
124,4,1995,540,302
124,4,1998,540,15
124,4,1999,540,60
124,4,2000,540,1
124,4,2001,540,100
124,4,2004,540,145
124,4,2005,540,1
124,4,2006,540,10
124,4,2008,540,3
124,4,2009,540,2
124,4,1978,540,9
124,4,1989,540,4
124,4,2000,540,6
124,4,1979,540,1
124,4,1981,540,5
124,4,1988,540,2
124,4,1989,540,2
124,4,1990,540,1
124,4,1993,540,1
124,4,1994,540,5
124,4,1997,540,7
124,4,2003,540,37
124,4,2004,540,1
124,4,2006,540,1
124,4,2011,540,3
124,4,2008,540,2
124,4,2009,540,14
124,4,2010,540,21
124,4,2011,540,4
124,4,2012,540,5
124,4,2013,540,8
124,4,2015,540,1
124,4,1973,540,4
124,4,1974,540,1
124,4,1975,540,4
124,4,1977,540,1
124,4,1979,540,1
124,4,1980,540,7
124,4,1981,540,1
124,4,1982,540,1
124,4,1986,540,1
124,4,1987,540,6
124,4,1990,540,3
124,4,1991,540,12
124,4,1992,540,31
124,4,1993,540,1
124,4,1995,540,3
124,4,1996,540,6
124,4,1998,540,34
124,4,1999,540,7
124,4,2001,540,4
124,4,2002,540,2
124,4,2004,540,229
124,4,2005,540,134
124,4,2006,540,16
124,4,2007,540,14
124,4,2008,540,5
124,4,2009,540,29
124,4,2010,540,12
124,4,2012,540,1
124,4,2013,540,10
124,4,2014,540,3
124,4,2015,540,2
124,4,2016,540,23
124,4,2017,540,1
124,4,2018,540,1
124,4,1971,540,2
124,4,1972,540,2
124,4,1976,540,4
124,4,1979,540,1
124,4,1980,540,5
124,4,1981,540,2
124,4,1982,540,6
124,4,1983,540,2
124,4,1984,540,5
124,4,1989,540,3
124,4,1994,540,16
124,4,1995,540,2
124,4,1981,540,1
124,4,1975,540,3
124,4,1972,540,5
124,4,1983,540,2
124,4,1987,540,2
124,4,1990,540,3
124,4,1991,540,1
124,4,1994,540,1
124,4,1995,540,1
124,4,1996,540,1
124,4,1997,540,1
124,4,1998,540,2
124,4,2003,540,2
124,4,2004,540,2
124,4,1971,540,3
124,4,1972,540,9
124,4,1973,540,3
124,4,1974,540,8
124,4,1979,540,5
124,4,1980,540,2
124,4,1982,540,1
124,4,1984,540,2
124,4,1987,540,3
124,4,1988,540,1
124,4,1989,540,2
124,4,1991,540,14
124,4,1992,540,11
124,4,1993,540,6
124,4,1994,540,1
124,4,1995,540,6
124,4,1996,540,8
124,4,1998,540,4
124,4,1999,540,5
124,4,2000,540,7
124,4,2001,540,9
124,4,2003,540,1
124,4,2004,540,1
124,4,2005,540,14
124,4,2006,540,30
124,4,2007,540,6
124,4,2008,540,4
124,4,2010,540,2
124,4,2011,540,3
124,4,2012,540,1
124,4,2013,540,1
124,4,1968,540,26
124,4,1969,540,8
124,4,1970,540,3
124,4,1971,540,9
124,4,1972,540,11
124,4,1973,540,2
124,4,1976,540,68
124,4,1977,540,4
124,4,1978,540,3
124,4,1979,540,16
124,4,1980,540,4
124,4,1981,540,28
124,4,1982,540,1
124,4,1983,540,9
124,4,1985,540,2
124,4,1988,540,64
124,4,1989,540,3
124,4,1990,540,13
124,4,1991,540,4
124,4,1992,540,2
124,4,1993,540,2
124,4,1994,540,2
124,4,1995,540,1
124,4,1996,540,1
124,4,1997,540,3
124,4,1999,540,87
124,4,2000,540,17
124,4,2001,540,61
124,4,2002,540,15
124,4,2003,540,10
124,4,2004,540,39
124,4,2005,540,68
124,4,2006,540,64
124,4,2007,540,31
124,4,2008,540,84
124,4,2009,540,20
124,4,2010,540,22
124,4,2011,540,95
124,4,2012,540,11
124,4,2013,540,2
124,4,2014,540,3
124,4,2016,540,14
124,4,2017,540,46
124,4,2018,540,34
124,4,1971,540,1
124,4,1976,540,3
124,4,1977,540,3
124,4,1979,540,5
124,4,1981,540,8
124,4,1983,540,1
124,4,1984,540,6
124,4,1985,540,8
124,4,1986,540,33
124,4,1987,540,6
124,4,1988,540,8
124,4,1989,540,59
124,4,1990,540,4
124,4,1991,540,11
124,4,1992,540,27
124,4,1993,540,30
124,4,1994,540,15
124,4,1995,540,1
124,4,1996,540,9
124,4,1998,540,16
124,4,1999,540,5
124,4,2000,540,9
124,4,2001,540,1
124,4,2002,540,1
124,4,2003,540,3
124,4,2004,540,3
124,4,2005,540,2
124,4,2008,540,38
124,4,2009,540,51
124,4,2010,540,100
124,4,2011,540,35
124,4,2012,540,129
124,4,2013,540,3
124,4,2014,540,18
124,4,2015,540,1
124,4,2016,540,71
124,4,2017,540,35
124,4,1971,540,2
124,4,1973,540,2
124,4,1980,540,1
124,4,1983,540,3
124,4,1985,540,5
124,4,1986,540,2
124,4,1987,540,3
124,4,1988,540,1
124,4,1989,540,2
124,4,1990,540,55
124,4,1991,540,8
124,4,1992,540,17
124,4,1993,540,5
124,4,1994,540,2
124,4,1995,540,31
124,4,1996,540,4
124,4,2001,540,75
124,4,2002,540,10
124,4,2003,540,7
124,4,2007,540,5
124,4,2009,540,2
124,4,2010,540,11
124,4,2012,540,20
124,4,2013,540,24
124,4,2014,540,2
124,4,2016,540,2
124,4,1974,540,6
124,4,1981,540,3
124,4,1983,540,9
124,4,1985,540,8
124,4,1987,540,2
124,4,1988,540,3
124,4,1989,540,1
124,4,1990,540,8
124,4,1991,540,1
124,4,1992,540,4
124,4,1993,540,13
124,4,1994,540,1
124,4,1996,540,12
124,4,1997,540,2
124,4,1998,540,1
124,4,2000,540,14
124,4,2001,540,18
124,4,2002,540,40
124,4,2003,540,2
124,4,2010,540,26
124,4,2016,540,99
124,4,2018,540,3
124,4,1988,540,12
124,4,2004,540,2
124,4,1992,540,4
124,4,1994,540,1
124,4,1997,540,2
124,4,1998,540,5
124,4,1999,540,2
124,4,2000,540,5
124,4,2001,540,20
124,4,2006,540,26
124,4,2012,540,15
124,4,1972,540,4
124,4,1976,540,3
124,4,1981,540,6
124,4,1982,540,1
124,4,1987,540,14
124,4,1988,540,2
124,4,1992,540,24
124,4,1993,540,79
124,4,1994,540,40
124,4,1995,540,43
124,4,2000,540,124
124,4,2005,540,160
124,4,2006,540,69
124,4,2007,540,25
124,4,2008,540,44
124,4,2009,540,14
124,4,2011,540,1
124,4,1973,540,3
124,4,1988,540,61
124,4,1990,540,27
124,4,1991,540,16
124,4,1992,540,5
124,4,1993,540,23
124,4,1994,540,5
124,4,1995,540,1
124,4,1996,540,2
124,4,1998,540,19
124,4,1999,540,41
124,4,2000,540,72
124,4,2003,540,4
124,4,2004,540,19
124,4,2005,540,54
124,4,2006,540,3
124,4,2007,540,51
124,4,2008,540,40
124,4,2010,540,77
124,4,2011,540,207
124,4,2012,540,1
124,4,2015,540,10
124,4,2016,540,3
124,4,2018,540,1
124,4,1975,540,1
124,4,1977,540,1
124,4,1994,540,3
124,4,1975,540,4
124,4,1977,540,12
124,4,1981,540,1
124,4,1984,540,5
124,4,1985,540,34
124,4,1988,540,33
124,4,1989,540,6
124,4,1991,540,4
124,4,1992,540,6
124,4,1993,540,3
124,4,1994,540,3
124,4,1995,540,4
124,4,1996,540,10
124,4,1997,540,43
124,4,1977,540,65
124,4,1984,540,75
124,4,1985,540,57
124,4,1986,540,17
124,4,1990,540,6
124,4,1991,540,25
124,4,1992,540,3
124,4,1995,540,2
124,4,1997,540,17
124,4,1998,540,15
124,4,2000,540,5
124,4,2005,540,1
124,4,2012,540,2
124,4,1992,540,3
124,4,1993,540,5
124,4,1994,540,3
124,4,1995,540,8
124,4,1996,540,1
124,4,1998,540,10
124,4,2002,540,5
124,4,2004,540,5
124,4,2005,540,6
124,4,2011,540,5
124,4,1977,540,1
124,4,1999,540,1
124,4,2003,540,96
124,4,2004,540,41
124,4,2005,540,14
124,4,2006,540,46
124,4,2007,540,80
124,4,2008,540,2
124,4,2009,540,190
124,4,2010,540,13
124,4,2011,540,7
124,4,2012,540,2
124,4,2014,540,6
124,4,2015,540,46
124,4,2016,540,20
124,4,2017,540,1
124,4,2017,540,18
124,4,2018,540,1
124,4,1996,540,1
124,4,1996,540,20
124,4,1997,540,27
124,4,1998,540,1
124,4,1999,540,1
124,4,2000,540,4
124,4,2001,540,7
124,4,2002,540,41
124,4,2004,540,16
124,4,2005,540,1
124,4,2006,540,1
124,4,2011,540,1
124,4,2015,540,12
124,4,1998,540,1
124,4,2017,540,5
124,4,2018,540,7
124,4,1992,540,2
124,4,1993,540,4
124,4,1995,540,1
124,4,1997,540,16
124,4,1998,540,160
124,4,1997,540,6
124,4,1998,540,23
124,4,1999,540,13
124,4,2000,540,15
124,4,2001,540,142
124,4,1995,540,45
124,4,1996,540,13
124,4,2013,540,26
124,4,1981,540,3
124,4,1991,540,1
124,4,1992,540,3
124,4,1994,540,4
124,4,1997,540,1
124,4,2002,540,1
124,4,1998,540,4
124,4,2001,540,1
124,4,2004,540,1
124,4,2005,540,1
124,4,2008,540,6
124,4,2009,540,8
124,4,2018,540,5
124,4,1998,540,4
124,4,2000,540,1
124,4,2003,540,1
124,4,2013,540,2
124,4,2018,540,1
124,4,1984,540,583
124,4,1985,540,445
124,4,1986,540,239
124,4,1987,540,375
124,4,1988,540,533
124,4,1989,540,186
124,4,1990,540,296
124,4,1991,540,268
124,4,1992,540,209
124,4,1995,540,468
124,4,1996,540,314
124,4,1997,540,414
124,4,1999,540,377
124,4,2005,540,102
124,4,2010,540,493
124,4,2012,540,178
124,4,1993,540,10
124,4,1995,540,1
124,4,1990,540,18
124,4,1991,540,10
124,4,1993,540,7
124,4,1995,540,1
124,4,1996,540,2
124,4,1999,540,45
124,4,1995,540,1
124,4,2012,540,2
124,4,2015,540,1
124,4,1992,540,37
124,4,1994,540,18
124,4,1995,540,1
124,4,1996,540,69
124,4,1997,540,3
124,4,1998,540,1
124,4,1999,540,1
124,4,2000,540,47
124,4,2001,540,9
124,4,2005,540,2
124,4,2007,540,2
124,4,2008,540,10
124,4,2011,540,24
124,4,2012,540,27
124,4,2013,540,25
124,4,2015,540,29
124,4,2016,540,15
124,4,2017,540,22
124,4,2018,540,18
124,4,1995,540,2
124,4,1996,540,3
124,4,2000,540,13
124,4,2004,540,1
124,4,2005,540,100
124,4,2008,540,1
124,4,2010,540,5
124,4,2015,540,3
124,4,2017,540,3
124,4,1994,540,3
124,4,1996,540,4
124,4,2006,540,6
124,4,1997,540,1
124,4,1987,540,1
124,4,1991,540,2
124,4,1993,540,8
124,4,1996,540,2
124,4,2001,540,1
124,4,2002,540,1
124,4,2006,540,1
124,4,2008,540,4
124,4,2009,540,5
124,4,2010,540,1
124,4,1989,540,6
124,4,1990,540,6
124,4,1991,540,3
124,4,1994,540,7
124,4,1995,540,1
124,4,1996,540,9
124,4,1997,540,3
124,4,1998,540,4
124,4,1992,540,2
124,4,1993,540,3
124,4,1995,540,11
124,4,1996,540,4
124,4,1998,540,4
124,4,1999,540,8
124,4,2001,540,16
124,4,2010,540,1
124,4,2016,540,1
124,4,2018,540,14
124,4,1992,540,1
124,4,1995,540,13
124,4,1996,540,5
124,4,1997,540,3
124,4,1998,540,1
124,4,1999,540,2
124,4,2008,540,5
124,4,2009,540,1
124,4,1990,540,76
124,4,1991,540,92
124,4,1992,540,154
124,4,1993,540,1
124,4,1994,540,17
124,4,1995,540,88
124,4,1996,540,406
124,4,1997,540,54
124,4,1999,540,7
124,4,2001,540,20
124,4,2006,540,9
124,4,2007,540,65
124,4,2010,540,3
124,4,2013,540,10
124,4,1990,540,2
124,4,1991,540,3
124,4,1992,540,78
124,4,1993,540,28
124,4,1994,540,46
124,4,1995,540,23
124,4,1996,540,63
124,4,1997,540,50
124,4,1998,540,5
124,4,1999,540,23
124,4,2000,540,149
124,4,2001,540,91
124,4,2002,540,5
124,4,2003,540,102
124,4,2004,540,20
124,4,2005,540,25
124,4,2006,540,736
124,4,2007,540,259
124,4,2008,540,351
124,4,2009,540,24
124,4,2010,540,272
124,4,2001,540,13
124,4,2002,540,31
124,4,2003,540,29
124,4,2005,540,7
124,4,2006,540,2
124,4,2007,540,4
124,4,2008,540,1
124,4,2009,540,147
124,4,2010,540,5
124,4,2011,540,1
124,4,2013,540,1
124,4,2014,540,1
124,4,2015,540,6
124,4,2016,540,3
124,4,2017,540,10
124,4,2018,540,2
124,4,1994,540,1
124,4,1996,540,9
124,4,1997,540,4
124,4,2000,540,16
124,4,2003,540,3
124,4,2016,540,56
124,4,2005,540,1
124,4,2006,540,2
124,4,1993,540,5
124,4,2003,540,6
124,4,2004,540,1
124,4,2007,540,2
124,4,1994,540,2
124,4,1997,540,4
124,4,2002,540,2
124,4,1981,540,45
124,4,1986,540,1
124,4,1992,540,13
124,4,2018,540,2
124,4,2017,540,3
124,4,2018,540,12
124,4,1994,540,1
124,4,1995,540,1
124,4,2005,540,3
124,4,2012,540,2
124,4,2015,540,4
124,4,2017,540,3
124,4,2015,540,2
124,4,1992,540,23
124,4,1993,540,134
124,4,1994,540,105
124,4,1995,540,131
124,4,1996,540,273
124,4,1999,540,47
124,4,2000,540,190
124,4,2001,540,166
124,4,2002,540,477
124,4,2003,540,293
124,4,2004,540,179
124,4,2006,540,238
124,4,2007,540,79
124,4,2009,540,307
124,4,2016,540,73
124,4,2017,540,23
124,4,2018,540,20
124,4,1995,540,37
124,4,1996,540,37
124,4,1997,540,37
124,4,2000,540,5
124,4,2001,540,17
124,4,2002,540,118
124,4,2003,540,22
124,4,2004,540,76
124,4,2005,540,230
124,4,2006,540,59
124,4,2007,540,15
124,4,2008,540,29
124,4,2009,540,24
124,4,2010,540,64
124,4,2011,540,48
124,4,2012,540,13
124,4,2013,540,30
124,4,2014,540,36
124,4,2015,540,119
124,4,2016,540,24
124,4,2017,540,20
124,4,2018,540,5
124,4,1995,540,2
124,4,1996,540,3
124,4,2000,540,4
124,4,2015,540,6
124,4,1996,540,685
124,4,2003,540,299
124,4,2007,540,53
124,4,2008,540,7
124,4,2009,540,94
124,4,2012,540,21
124,4,2014,540,26
124,4,2015,540,68
124,4,1990,540,2
124,4,1993,540,17
124,4,2007,540,18
124,4,2008,540,5
124,4,2009,540,3
124,4,2010,540,39
124,4,2012,540,16
124,4,2013,540,1
124,4,2014,540,5
124,4,2015,540,2
124,4,2016,540,1
124,4,2007,540,1
124,4,2008,540,2
124,4,2009,540,104
124,4,2015,540,20
124,4,2016,540,6
124,4,2017,540,6
124,4,2018,540,14
124,4,2018,540,1
124,4,2003,540,1
124,4,2009,540,1
124,4,2011,540,1
124,4,2015,540,28
124,4,1994,540,5
124,4,1995,540,1
124,4,1996,540,1
124,4,1997,540,1
124,4,1999,540,1
124,4,2001,540,368
124,4,2002,540,1
124,4,2003,540,6
124,4,2004,540,9
124,4,2005,540,9
124,4,2006,540,6
124,4,2007,540,7
124,4,2008,540,1
124,4,2009,540,6
124,4,2010,540,4
124,4,2013,540,43
124,4,2014,540,38
124,4,2015,540,3
124,4,2016,540,23
124,4,2017,540,2
124,4,2018,540,5
124,4,1995,540,22
124,4,1996,540,28
124,4,1997,540,223
124,4,1998,540,34
124,4,1999,540,7
124,4,2000,540,18
124,4,2002,540,12
124,4,2004,540,7
124,4,2006,540,7
124,4,2007,540,277
124,4,2008,540,7
124,4,2010,540,1
124,4,2011,540,2
124,4,2012,540,7
124,4,2013,540,6
124,4,2015,540,4
124,4,2016,540,2
124,4,2000,540,3
124,4,2007,540,10
124,4,2015,540,2
124,4,2006,540,6
124,4,2009,540,1
124,4,2010,540,11
124,4,2014,540,4
124,4,2015,540,96
124,4,2016,540,10
124,4,2017,540,24
124,4,1994,540,3
124,4,1997,540,93
124,4,1998,540,18
124,4,2000,540,1
124,4,2002,540,1
124,4,2005,540,2
124,4,2007,540,2
124,4,2010,540,1
124,4,1995,540,3
124,4,2001,540,12
124,4,2002,540,28
124,4,2011,540,11
124,4,2014,540,1
124,4,2015,540,5
124,4,1992,540,9
124,4,1993,540,3
124,4,1994,540,1
124,4,1995,540,6
124,4,1996,540,2
124,4,1997,540,2
124,4,1998,540,6
124,4,1999,540,2
124,4,2000,540,11
124,4,2001,540,10
124,4,2002,540,1
124,4,2003,540,36
124,4,2007,540,7
124,4,2008,540,1
124,4,2009,540,3
124,4,2010,540,2
124,4,2011,540,5
124,4,2012,540,7
124,4,2013,540,10
124,4,2014,540,1
124,4,2015,540,2
124,4,2016,540,1
124,4,1992,540,3
124,4,1993,540,2
124,4,1995,540,1
124,4,1996,540,6
124,4,1997,540,3
124,4,1998,540,2
124,4,1999,540,19
124,4,2002,540,7
124,4,2008,540,2
124,4,2012,540,21
124,4,2013,540,22
124,4,1995,540,7
124,4,1996,540,6
124,4,1997,540,1
124,4,1998,540,1
124,4,2000,540,10
124,4,2002,540,7
124,4,2004,540,1
124,4,2006,540,4
124,4,2010,540,2
124,4,1994,540,2
124,4,1995,540,3
124,4,1996,540,2
124,4,1998,540,1
124,4,1999,540,3
124,4,2000,540,1
124,4,2011,540,3
124,4,1994,540,36
124,4,1995,540,1
124,4,1996,540,11
124,4,1997,540,16
124,4,1998,540,3
124,4,1999,540,54
124,4,2002,540,5
124,4,2003,540,1
124,4,2004,540,24
124,4,2005,540,20
124,4,2006,540,1
124,4,2001,540,22
124,4,2003,540,17
124,4,2005,540,21
124,4,2017,540,8
124,4,2018,540,6
124,4,1992,540,8
124,4,1993,540,1
124,4,1996,540,1
124,4,1999,540,1
124,4,2001,540,3
124,4,2007,540,1
124,4,2018,540,3
124,4,1988,540,2
124,4,1992,540,1
124,4,1995,540,20
124,4,2002,540,171
124,4,2008,540,1
124,4,2009,540,3
124,4,2011,540,295
124,4,2013,540,2
124,4,2014,540,8
124,4,2016,540,2
124,4,2018,540,4
124,4,2005,540,2
124,4,2006,540,1
124,4,2007,540,2
124,4,1995,540,8
124,4,1997,540,2
124,4,2000,540,36
124,4,2017,540,2
124,4,2018,540,1
124,4,2002,540,1
124,4,1995,540,36
124,4,1996,540,36
124,4,1997,540,513
124,4,1998,540,108
124,4,1999,540,63
124,4,2000,540,113
124,4,2001,540,135
124,4,2002,540,149
124,4,2003,540,161
124,4,2004,540,57
124,4,2005,540,94
124,4,2006,540,148
124,4,2007,540,38
124,4,2008,540,130
124,4,2009,540,40
124,4,2010,540,87
124,4,2011,540,32
124,4,2012,540,58
124,4,2013,540,2
124,4,2014,540,3
124,4,2016,540,1
124,4,2017,540,14
124,4,2018,540,1
124,4,2008,540,16
124,4,2011,540,4
124,4,2012,540,24
124,4,2013,540,14
124,4,2014,540,11
124,4,2015,540,14
124,4,2016,540,96
124,4,2017,540,5
124,4,2018,540,1
124,4,1999,540,1
124,4,2000,540,2
124,4,2001,540,1
124,4,1996,540,1
124,4,2007,540,9
124,4,2011,540,2
124,4,2005,540,3
124,4,2016,540,1
124,4,1996,540,5
124,4,2003,540,1
124,4,2011,540,6
124,4,2015,540,1
124,4,2017,540,2
124,4,1998,540,1
124,4,2001,540,5
124,4,2002,540,1
124,4,2003,540,2
124,4,2012,540,3
124,4,2012,540,70
124,4,2013,540,75
124,4,2016,540,6
124,4,1996,540,1
124,4,1997,540,21
124,4,2013,540,2
124,4,2014,540,45
124,4,1996,540,1
124,4,2002,540,89
124,4,2003,540,26
124,4,2004,540,70
124,4,2005,540,78
124,4,2006,540,41
124,4,2007,540,27
124,4,2008,540,3
124,4,1995,540,53
124,4,1997,540,84
124,4,1998,540,43
124,4,2001,540,69
124,4,2002,540,20
124,4,2003,540,62
124,4,2004,540,22
124,4,2005,540,59
124,4,2006,540,23
124,4,2007,540,4
124,4,2018,540,22
124,4,1994,540,13
124,4,1995,540,27
124,4,1996,540,27
124,4,1997,540,9
124,4,1998,540,7
124,4,1993,540,2
124,4,1994,540,6
124,4,1995,540,3
124,4,1996,540,1
124,4,1997,540,16
124,4,1998,540,1
124,4,1999,540,46
124,4,2000,540,46
124,4,2001,540,5
124,4,2003,540,4
124,4,2004,540,27
124,4,2005,540,1
124,4,2006,540,1
124,4,2007,540,25
124,4,2008,540,3
124,4,2009,540,4
124,4,2012,540,29
124,4,2013,540,6
124,4,2014,540,32
124,4,2015,540,3
124,4,2016,540,5
124,4,2017,540,24
124,4,1994,540,1
124,4,1998,540,6
124,4,1999,540,20
124,4,2003,540,35
124,4,2007,540,7
124,4,2008,540,1
124,4,2010,540,23
124,4,1999,540,13
124,4,2011,540,1
124,4,2017,540,2
124,4,2018,540,1
124,4,2005,540,27
124,4,2006,540,1
124,4,2015,540,1
124,4,2017,540,3
124,4,2012,540,66
124,4,2013,540,53
124,4,2014,540,55
124,4,2015,540,18
124,4,2016,540,2
124,4,2017,540,12
124,4,2003,540,156
124,4,2004,540,220
124,4,2008,540,171
124,4,2009,540,283
124,4,2010,540,106
124,4,2011,540,84
124,4,2013,540,9
124,4,2015,540,52
124,4,2017,540,148
124,4,2018,540,277
124,4,1996,540,162
124,4,2015,540,65
124,4,1996,540,15
124,4,1997,540,11
124,4,2001,540,11
124,4,2008,540,1
124,4,1995,540,1
124,4,2004,540,3
124,4,2006,540,1
124,4,1996,540,126
124,4,2018,540,6
124,4,1996,540,1
124,4,2013,540,38
124,4,2014,540,20
124,4,2015,540,922
124,4,2016,540,62
124,4,2017,540,26
124,4,2018,540,105
124,4,2011,540,55
124,4,2013,540,3
124,4,2014,540,1
124,4,2012,540,13
124,4,2013,540,5
124,4,2014,540,2
124,4,2016,540,10
124,4,1998,540,2
124,4,2002,540,2
124,4,1990,540,18
124,4,1994,540,23
124,4,1995,540,23
124,4,1996,540,8
124,4,1997,540,6
124,4,1998,540,32
124,4,1999,540,46
124,4,2000,540,5
124,4,2001,540,15
124,4,2002,540,4
124,4,2006,540,3
124,4,2007,540,2
124,4,2008,540,4
124,4,2010,540,7
124,4,2011,540,8
124,4,2012,540,2
124,4,2013,540,3
124,4,2014,540,31
124,4,2016,540,10
124,4,2017,540,2
124,4,2018,540,1
124,11,1977,540,1
124,11,1980,540,25
124,11,1986,540,1
124,11,2004,540,3
124,11,1975,540,1
124,11,1991,540,1
124,11,1972,540,4
124,11,1975,540,1
124,11,1982,540,6
124,11,2000,540,2
124,11,2002,540,5
124,11,2003,540,87
124,11,2004,540,19
124,11,2005,540,6
124,11,2006,540,7
124,11,2007,540,13
124,11,2008,540,10
124,11,2009,540,15
124,11,2011,540,6
124,11,2012,540,30
124,11,2013,540,56
124,11,2014,540,7
124,11,2015,540,62
124,11,2016,540,38
124,11,2017,540,8
124,11,1998,540,1
124,11,1992,540,2
124,11,2002,540,2
124,11,1984,540,2
124,11,1985,540,2
124,11,1988,540,1
124,11,1997,540,4
124,11,2002,540,2
124,11,2003,540,3
124,11,2004,540,2
124,11,2007,540,2
124,11,2009,540,2
124,11,2017,540,1
124,11,2018,540,1
124,11,1998,540,3
124,11,1999,540,9
124,11,2015,540,11
124,11,1995,540,1
124,11,2008,540,1
124,11,2003,540,5
